,City,Place
1202631,Pulwama,Aharbal Waterfall
1202654,Pulpally,Pulpally Seethadevi Temple
1202658,Pulicat,Dutch Church
1202659,Pulwama,Avantishwar Temple
1202663,Pulwama,Huda Complex
1202665,Pulwama,Jama Masjid Shopian
1202672,Pulwama,Marsar Lake
1202674,Punalur,Hanging Bridge Punalur
1202684,Pulwama,Payer Temple
1202685,Pune,Aga Khan Palace
1202713,Pulwama,Tarsar Lake
1202723,Punalur,K G Convention Centre
1202944,Pune,Aditya Shagun Mall
1203822,Pune,Amanora Mall
1204033,Pune,Appu Ghar Amusement Park
1204074,Pune,Amazeum Children's Museum
1204082,Pune,Andra Valley Dam
1204090,Pune,Apsara Theater
1204094,Pune,Art2Day Gallery
1204097,Pune,Archeological museum
1204100,Pune,Aroha Srushti Agri Tourism
1204106,Pune,Aryabhushan Theatre
1204109,Pune,Balewadi Stadium (Shri Shiv Chhatrapati)
1204139,Pune,Balak Shishu Mandir
1204141,Pune,Balbhim Mandir
1204197,Pune,Baneshwar Temple
1204227,Pune,Bandiwan Maruti Mandir
1204259,Pune,Baner Hill
1204296,Pune,BAPS Shri Swaminarayan Mandir
1204300,Pune,AquaDunia
1204348,Pune,Bedse Caves
1204397,Pune,Bedekar Ganpati Mandir
1204398,Pune,Bhatghar Dam
1204402,Pune,Bhimashankar Wildlife Sanctuary
1204420,Pune,Bhama Askhed Dam
1204446,Pune,Bharat Natya Sanshodhan Mandir
1204486,Pune,Bhuleshwar Temple
1204505,Pune,Bhimthadi Jatra
1204701,Pune,Blades of Glory Cricket Museum
1204724,Pune,Bund Garden
1204757,Pune,Chaturshrungi Temple
1204772,Pune,Blessings Aquarium
1204809,Pune,Chakan Fort
1205374,Pune,Chatushrungi Hills
1205422,Pune,Chavand Fort
1205436,Pune,Chittaranjan Vatika Garden
1205486,Pune,Dagadusheth Halwai Ganapati Temple
1205506,Pune,Clover Center
1208476,Pune,Darshan Museum
1209815,Pune,Dashbhuja Ganpati Temple
1209816,Pune,Devkund Waterfall
1209846,Pune,Dashbhuj ganpati mandir
1209868,Pune,Deshmukh Devi Mandir
1209870,Pune,Devi Chamunda Mata Mandir
1209882,Pune,"Diamond Parks - Water, Adventure & Camping"
1209916,Pune,Dharmaveer Chatrapati Sambhaji Maharaj
1209934,Pune,Dive Ghat Valley
1209963,Pune,Empress Gardens
1209992,Pune,Dipika Balak Mandir
1210005,Pune,Dighi Hills
1210021,Pune,Dr Salim Ali Bird Sanctuary
1210042,Pune,Film and Television Institute of India
1210053,Pune,Four Seasons Winery
1210067,Pune,Gandhi National Memorial
1210077,Pune,Fire Brigade Museum
1210106,Pune,Funky Monkeys Play Center Pune
1210123,Pune,Ghoradeshwar Temple
1210132,Pune,Gatha Temple
1210150,Pune,Gcorp Pulse Mall
1210181,Pune,Gram Sanskruti Udyan Village Park
1210196,Pune,Girijatmaka Temple
1210238,Pune,Gopal Gyan Samaj Mandir
1210252,Pune,Hong Kong Lane
1210253,Pune,Gurudwara Guru Nanak Darbar
